Name,Address,Region,Town,Longtitude,Latitude,path
九宮坑道,金門縣894烈嶼鄉羅厝5之5號,金門縣,烈嶼鄉,118.26269,24.42363,location_images/九宮坑道.jpg
金門縣水產試驗所,金門縣893金城鎮西海路2號,金門縣,金城鎮,118.31505,24.42479,location_images/金門縣水產試驗所.jpg
水頭碼頭,金門縣893金城鎮西海路1段5號,金門縣,金城鎮,118.28696,24.41518,location_images/水頭碼頭.jpg
金門縣農業試驗所,金門縣891金湖鎮后壟村31號,金門縣,金湖鎮,118.44712,24.44647,location_images/金門縣農業試驗所.jpg
羅厝媽祖公園,金門縣894烈嶼鄉近九宮碼頭,金門縣,烈嶼鄉,118.26281,24.42521,location_images/羅厝媽祖公園.jpg
地雷主題館,金門縣894烈嶼鄉湖埔路上,金門縣,烈嶼鄉,118.25188,24.44666,location_images/地雷主題館.jpg
擎天廳,金門縣891金湖鎮擎天路上,金門縣,金湖鎮,118.40649,24.45377,location_images/擎天廳.jpg
建功嶼,金門縣893金城鎮建功嶼,金門縣,金城鎮,118.30005,24.42746,location_images/建功嶼.jpg
金門和平紀念園區(林厝砲陣地),金門縣892金寧鄉頂林路上,金門縣,金寧鄉,118.31649,24.47603,location_images/金門和平紀念園區(林厝砲陣地).jpg
北山播音牆,金門縣892金寧鄉近北山斷崖,金門縣,金寧鄉,118.31305,24.48892,location_images/北山播音牆.jpg
文化園區金門歷史民俗博物館,金門縣890金沙鎮西園里文化路450巷52號,金門縣,金沙鎮,118.40361,24.49927,location_images/文化園區金門歷史民俗博物館.jpg
金東電影院,金門縣890金沙鎮陽翟村內,金門縣,金沙鎮,118.42741,24.47894,location_images/金東電影院.jpg
同安渡頭,金門縣893金城鎮同安渡頭,金門縣,金寧鄉,118.30916,24.4376,location_images/同安渡頭.jpg
沙美老街(沙美摩洛哥),金門縣890金沙鎮信義路周圍,金門縣,金沙鎮,118.41346,24.48946,location_images/沙美老街(沙美摩洛哥).jpg
瓊林聚落,金門縣891金湖鎮金湖鎮瓊林里,金門縣,金湖鎮,118.37302,24.45482,location_images/瓊林聚落.jpg
後浦16藝文特區,金門縣893金城鎮莒光路112號,金門縣,金城鎮,118.31701,24.43278,location_images/後浦16藝文特區.jpg
陽翟老街,金門縣890金沙鎮陽翟村內,金門縣,金沙鎮,118.42761,24.47963,location_images/陽翟老街.jpg
羅寶田神父紀念園區,金門縣891金湖鎮太湖路二段218號,金門縣,金湖鎮,118.41937,24.4386,location_images/羅寶田神父紀念園區.jpg
金門植物園,金門縣891金湖鎮太武山10號,金門縣,金沙鎮,118.39753,24.45429,location_images/金門植物園.jpg
燕南書院,金門縣893金城鎮古區268號,金門縣,金城鎮,118.31355,24.4073,location_images/燕南書院.jpg
浯江書院,金門縣893金城鎮珠浦北路36號,金門縣,金城鎮,118.31704,24.43424,location_images/浯江書院.jpg
尚義環保公園,金門縣891金湖鎮尚義100號,金門縣,金湖鎮,118.36894,24.44069,location_images/尚義環保公園.jpg
金城海濱休閒公園,金門縣893金城鎮浯江溪出海口旁,金門縣,金城鎮,118.31027,24.4302,location_images/金城海濱休閒公園.jpg
歐陽鐘遠洋樓,金門縣893金城鎮歐厝村內,金門縣,金城鎮,118.33159,24.40805,location_images/歐陽鐘遠洋樓.jpg
延平郡王祠,金門縣893金城鎮夏墅西北方,金門縣,金城鎮,118.30477,24.42448,location_images/延平郡王祠.jpg
紅土溝三營區L-36據點,金門縣894烈嶼鄉北環道貓公石海灘旁,金門縣,烈嶼鄉,118.23829,24.44955,location_images/紅土溝三營區L-36據點.jpg
烈嶼鄉文化館,金門縣894烈嶼鄉林湖村西路1-1號,金門縣,烈嶼鄉,118.24475,24.43116,location_images/烈嶼鄉文化館.jpg
沙溪堡,金門縣894烈嶼鄉青岐村附近,金門縣,烈嶼鄉,118.2128,24.41166,location_images/沙溪堡.jpg
后麟步槍模擬射擊館,金門縣894烈嶼鄉后頭聚落內,金門縣,烈嶼鄉,118.25882,24.43903,location_images/后麟步槍模擬射擊館.jpg
麒麟山森林公園,金門縣894烈嶼鄉麒麟山森林公園,金門縣,烈嶼鄉,118.25463,24.436,location_images/麒麟山森林公園.jpg
雙口海濱公園,金門縣894烈嶼鄉雙口,金門縣,烈嶼鄉,118.22958,24.4446,location_images/雙口海濱公園.jpg
迎賓館,金門縣891金湖鎮山外里山外72之1號,金門縣,金湖鎮,118.41792,24.44785,location_images/迎賓館.jpg
金門縣畜產試驗所,金門縣891金湖鎮蓮庵里惠民富康農莊17號,金門縣,金湖鎮,118.43862,24.43348,location_images/金門縣畜產試驗所.jpg
L18據點,金門縣894烈嶼鄉濱海大道上(近烈女廟),金門縣,烈嶼鄉,118.22005,24.4208,location_images/L18據點.jpg
大膽島,金門縣894烈嶼鄉大膽島,金門縣,烈嶼鄉,118.1699,24.38474,location_images/大膽島.jpg
馬山三角堡,金門縣890金沙鎮馬山附近,金門縣,金沙鎮,118.40981,24.52313,location_images/馬山三角堡.jpg
碧山聚落,金門縣890金沙鎮碧山村,金門縣,金沙鎮,118.44112,24.48564,location_images/碧山聚落.jpg
自行車故事館,金門縣891金湖鎮伯玉路二段460號,金門縣,金寧鄉,118.35205,24.44412,location_images/自行車故事館.jpg
金門大學,金門縣892金寧鄉大學路1號,金門縣,金寧鄉,118.32254,24.44815,location_images/金門大學.jpg
山外車站,金門縣891金湖鎮黃海路90之1號,金門縣,金湖鎮,118.4141,24.44223,location_images/山外車站.jpg
沙美車站,金門縣890金沙鎮環島東路一段112號,金門縣,金沙鎮,118.41302,24.48899,location_images/沙美車站.jpg
