title,image,area_1,area_2,latitude,longitude,address
東椗島燈塔,/hotspots/taiwan_img/東椗島燈塔.jpg,金門縣,金城鎮,24.159269,118.2384,金門縣金城鎮東椗島
古龍頭振威第,/hotspots/taiwan_img/古龍頭振威第.jpg,金門縣,金寧鄉,24.47842,118.31197,金門縣金寧鄉北山25號
芹壁村,/hotspots/taiwan_img/芹壁村.jpg,連江縣,北竿鄉,26.224782,119.98366,連江縣北竿鄉
八八坑道,/hotspots/taiwan_img/八八坑道.jpg,連江縣,南竿鄉,26.160305,119.95324,連江縣南竿鄉復興村208號
馬祖酒廠,/hotspots/taiwan_img/馬祖酒廠.jpg,連江縣,南竿鄉,26.161237,119.95146,連江縣南竿鄉復興村208號
大埔石刻,/hotspots/taiwan_img/大埔石刻.jpg,連江縣,莒光鄉,25.946459,119.96714,連江縣莒光鄉
枕戈待旦紀念公園,/hotspots/taiwan_img/枕戈待旦紀念公園.jpg,連江縣,南竿鄉,26.155884,119.94014,連江縣南竿鄉
壁山,/hotspots/taiwan_img/壁山.jpg,連江縣,北竿鄉,26.225091,119.99251,連江縣北竿鄉
鐵堡,/hotspots/taiwan_img/鐵堡.jpg,連江縣,南竿鄉,26.142005,119.92089,連江縣南竿鄉
馬祖國家風景區,/hotspots/taiwan_img/馬祖國家風景區.jpg,連江縣,南竿鄉,26.142001,119.92814,連江縣南竿鄉仁愛村95-1號
馬祖民俗文物館,/hotspots/taiwan_img/馬祖民俗文物館.jpg,連江縣,南竿鄉,26.150279,119.93557,連江縣南竿鄉清水村135號
雲台山,/hotspots/taiwan_img/雲台山.jpg,連江縣,南竿鄉,26.150492,119.92306,連江縣南竿鄉
東引島燈塔,/hotspots/taiwan_img/東引島燈塔.jpg,連江縣,東引鄉,26.365429,120.51049,連江縣東引鄉樂華村169號
東莒島燈塔,/hotspots/taiwan_img/東莒島燈塔.jpg,連江縣,莒光鄉,25.964048,119.99058,連江縣莒光鄉福正村56之1號
大坵島,/hotspots/taiwan_img/大坵島.jpg,連江縣,北竿鄉,26.246057,119.99864,連江縣北竿鄉大坵島
